nombre,riego,cuidados,area,genero,precio,tipo_luz,tipo_sustrato
327621,26,Optimized empowering solution,Xiji,M,52,sed,parturient
328417,23,Stand-alone value-added superstructure,Maputi,F,77,orci,luctus
455718,20,Balanced bandwidth-monitored ability,Belsk Duży,F,55,amet diam,rutrum ac
313638,59,Fully-configurable 6th generation array,Costeira do Pirajubae,F,83,condimentum curabitur,lectus in
714636,74,Synergized homogeneous process improvement,Sendang,F,91,duis faucibus,vulputate
987560,65,Centralized non-volatile info-mediaries,Bílina Kyselka,F,11,donec,non
329497,62,Exclusive bifurcated customer loyalty,Constanza,F,84,massa,nulla
551410,50,Multi-lateral well-modulated challenge,Warungpeuteuy,F,27,nisl,consequat
744739,89,Compatible client-server capability,Rafael Hernandez Ochoa,F,52,pellentesque volutpat,quam
737356,79,Function-based mission-critical info-mediaries,Ábrego,M,44,natoque,id luctus
736881,60,Profit-focused zero administration alliance,Costa Rica,M,94,quisque,nulla ut
120241,17,Exclusive mobile success,Denov,F,73,eget rutrum,consectetuer adipiscing
26842,74,Sharable tangible circuit,Fentange,F,23,lacinia,orci mauris
401189,78,Mandatory real-time extranet,Kengkou,F,71,purus,tempus vel
425529,57,Optional coherent system engine,Hong’an,M,35,suspendisse,parturient montes
91296,47,Inverse local hierarchy,Arcueil,M,88,egestas,lacinia
467885,33,Multi-tiered dynamic database,Wadeng,M,90,tristique,felis eu
542180,11,Seamless zero defect synergy,Xianghuaqiao,M,18,accumsan tortor,ligula
3005,100,Managed stable contingency,Świętajno,M,8,proin interdum,erat
273780,5,Multi-channelled needs-based moratorium,Nové Sedlo,M,21,lacinia,lacus purus
125589,27,Multi-tiered fresh-thinking complexity,Housuo,M,61,volutpat dui,justo lacinia
192786,47,Seamless high-level toolset,Bajia,M,40,luctus,nulla quisque
615615,53,Phased needs-based access,Añatuya,F,71,vivamus vel,quam turpis
385094,62,Open-source mission-critical circuit,Kebonkaret,M,85,faucibus accumsan,in hac
689605,36,Balanced systemic focus group,Cineumbeuy,F,87,vivamus,adipiscing
565288,23,Cross-group disintermediate archive,Bela Vista,F,7,ante vel,aenean auctor
432542,34,Ergonomic 5th generation support,Blarney,M,45,tincidunt,bibendum
